"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.6264925821826,0.768,0.351,0,"0","Plekhg5"
3.18663928901786e-22,3.48725121808163,0.252,0.21,6.37327857803572e-19,"0","Gm49144"
0,3.47192419048733,0.946,0.499,0,"0","F13a1"
1.09143798751365e-211,3.14024867280457,0.368,0.201,2.1828759750273e-208,"0","Cd163"
0,3.09972263583014,0.608,0.357,0,"0","Ms4a4a"
2.44053931087463e-54,3.01140394718073,0.287,0.226,4.88107862174927e-51,"0","Ms4a8a"
0,2.90831449292719,0.883,0.61,0,"0","Rbpj"
3.53768510264866e-53,2.83579362645428,0.294,0.252,7.07537020529731e-50,"0","Slit1"
0,2.83488506076307,0.808,0.47,0,"0","Stab1"
0,2.82820340818469,0.664,0.345,0,"0","Stard8"
0,2.73504483262757,0.684,0.338,0,"0","Aoah"
0,2.71140842975951,0.869,0.551,0,"0","Pde7b"
1.22648773816375e-46,2.65947038252166,0.302,0.265,2.45297547632751e-43,"0","Hsf3"
5.03199981944672e-39,2.58225877482157,0.293,0.244,1.00639996388934e-35,"0","Vsig4"
4.53674189064598e-83,2.57833500438242,0.384,0.321,9.07348378129196e-80,"0","Pstpip2"
2.68809054036894e-123,2.57283184831436,0.301,0.215,5.37618108073788e-120,"0","P2ry12"
0,2.57174013871235,0.868,0.504,0,"0","Mctp1"
0,2.51726207918401,0.925,0.533,0,"0","Mrc1"
5.55048572287309e-54,2.51720053628819,0.256,0.21,1.11009714457462e-50,"0","Mctp2"
3.59574263111765e-19,2.4992859229673,0.276,0.265,7.1914852622353e-16,"0","Ifi213"
3.75436424110273e-216,4.94165931738552,0.39,0.183,7.50872848220546e-213,"1","Shisa9"
2.08385806898562e-197,4.55893245919658,0.304,0.109,4.16771613797124e-194,"1","Fat3"
1.17144284941413e-143,4.47658350576525,0.277,0.112,2.34288569882826e-140,"1","Ksr2"
5.60040895519238e-127,3.93194112346386,0.374,0.225,1.12008179103848e-123,"1","Gm5150"
6.02752403880334e-138,3.89893544404296,0.274,0.114,1.20550480776067e-134,"1","Ptchd1"
0,3.81799325813864,0.769,0.254,0,"1","Atp6v0d2"
4.38438689087659e-182,3.71069139106942,0.339,0.144,8.76877378175318e-179,"1","Efr3b"
0,3.48909487732475,0.691,0.341,0,"1","Arhgap25"
2.10933770608475e-164,3.42264964174166,0.426,0.234,4.2186754121695e-161,"1","Card11"
2.62939757854593e-102,3.37248917335958,0.262,0.124,5.25879515709187e-99,"1","F7"
1.28992599932799e-106,3.31520625641875,0.316,0.172,2.57985199865598e-103,"1","Il7r"
1.86442997058828e-152,3.30092694922496,0.396,0.216,3.72885994117655e-149,"1","Rgs1"
0,3.27270850318541,0.765,0.438,0,"1","Myo1e"
1.34306098446605e-32,3.18151352983681,0.302,0.249,2.6861219689321e-29,"1","Tnip3"
3.34267644585792e-266,3.14474651930579,0.507,0.265,6.68535289171585e-263,"1","Nav2"
2.19252887297393e-147,3.0297836002338,0.459,0.289,4.38505774594786e-144,"1","Cadm1"
1.00788542756972e-09,2.89762369847272,0.293,0.301,2.01577085513943e-06,"1","Mmp12"
0,2.87594192442142,0.679,0.316,0,"1","Evl"
0,2.83893410546209,0.711,0.361,0,"1","Alcam"
0,2.82441440819036,0.698,0.392,0,"1","St18"
0,4.25505524423742,0.602,0.244,0,"2","Gm13561"
2.8574091891955e-213,4.13213534018027,0.494,0.284,5.714818378391e-210,"2","Gm12381"
0,4.07465825224673,0.587,0.301,0,"2","Sntg1"
0,4.04784459460036,0.618,0.291,0,"2","Sema3e"
0,3.89478350069165,0.505,0.2,0,"2","Ano3"
2.2757827473121e-72,3.86469768619748,0.252,0.085,4.5515654946242e-69,"2","B230217J21Rik"
0,3.7701218623769,0.904,0.359,0,"2","Sema3c"
0,3.76153435789139,0.622,0.277,0,"2","Rorb"
4.8061286162263e-173,3.7374559062449,0.325,0.132,9.6122572324526e-170,"2","Gpr1"
1.10233356391713e-84,3.7302408190806,0.298,0.137,2.20466712783426e-81,"2","Gm46323"
4.26541995060688e-204,3.72248436567022,0.377,0.145,8.53083990121377e-201,"2","Efhd1"
0,3.71137230227524,0.466,0.176,0,"2","Dtna"
0,3.64544319011409,0.626,0.229,0,"2","Gfpt2"
0,3.63777775970053,0.963,0.37,0,"2","Dpp4"
0,3.63425469426102,0.961,0.327,0,"2","Creb5"
3.58150102521978e-144,3.62546815740649,0.375,0.199,7.16300205043956e-141,"2","Prkg2"
5.7146332294941e-90,3.54696262005039,0.331,0.208,1.14292664589882e-86,"2","Aldh1a3"
0,3.53625927837974,0.825,0.331,0,"2","Lvrn"
0,3.52507754692441,0.6,0.228,0,"2","Galnt16"
0,3.47496146946717,0.722,0.278,0,"2","Eya4"
8.87457997971103e-53,2.17330553612785,0.688,0.605,1.77491599594221e-49,"3","Col1a1"
3.6501209775384e-10,2.07354881398093,0.391,0.343,7.3002419550768e-07,"3","Spp1"
4.70668973980459e-59,1.87807822718313,0.277,0.152,9.41337947960919e-56,"3","Mgp"
3.30400231805945e-35,1.79303280482043,0.254,0.158,6.6080046361189e-32,"3","Ptn"
4.33020691483197e-28,1.70854826166773,0.383,0.296,8.66041382966393e-25,"3","Hbb-bs"
2.60379419838163e-43,1.62485147455421,0.523,0.419,5.20758839676326e-40,"3","Pi16"
9.4692264132155e-13,1.53994831181876,0.422,0.37,1.8938452826431e-09,"3","Postn"
4.59239139541835e-30,1.52807792580613,0.396,0.306,9.1847827908367e-27,"3","Igfbp5"
1.79887798858833e-30,1.5120262170945,0.267,0.169,3.59775597717666e-27,"3","Ear2"
4.81286504914948e-08,1.48195551096628,0.319,0.269,9.62573009829896e-05,"3","Pdgfra"
1.17412240103564e-23,1.47171605192605,0.331,0.253,2.34824480207127e-20,"3","Col5a3"
3.69876100671763e-15,1.46623182464697,0.31,0.247,7.39752201343525e-12,"3","Ctsk"
5.5236644377597e-13,1.43164007529674,0.333,0.285,1.10473288755194e-09,"3","Mmp3"
9.33607948298417e-98,1.42083528735269,0.254,0.102,1.86721589659683e-94,"3","Nfasc"
9.50186552541422e-17,1.36805806390263,0.489,0.425,1.90037310508284e-13,"3","Fstl1"
8.12495004296954e-32,1.33115203240272,0.624,0.541,1.62499000859391e-28,"3","Fn1"
3.99040001827814e-14,1.32532027960353,0.31,0.25,7.98080003655628e-11,"3","Mt1"
3.4716986730689e-27,1.30481100612112,0.545,0.465,6.94339734613779e-24,"3","Fbn1"
1.04723128240739e-19,1.26786748555514,0.255,0.173,2.09446256481478e-16,"3","Fabp5"
2.79863599163187e-26,1.24966756002062,0.328,0.235,5.59727198326374e-23,"3","Sult5a1"
0,10.1085096964828,0.301,0.002,0,"4","Gm8298"
0,7.78704552438376,0.32,0.002,0,"4","Gm12239"
1.24647213766802e-11,7.26770583279235,0.298,0.003,2.49294427533605e-08,"4","A830018L16Rik"
2.8988149522588e-69,6.97469712383367,0.429,0.011,5.79762990451761e-66,"4","Gm13544"
0,6.93239998359748,0.567,0.023,0,"4","Gm35552"
0,6.67825860040389,0.525,0.019,0,"4","Pnpla3"
0,6.59329631481841,0.77,0.028,0,"4","Ctcflos"
0,6.48116993381889,0.719,0.049,0,"4","Tshr"
0,6.36089791258751,0.795,0.086,0,"4","Acvr1c"
5.60085860544716e-61,6.34425063513643,0.301,0.006,1.12017172108943e-57,"4","Trim67"
2.18636029222678e-12,6.31766623280029,0.381,0.021,4.37272058445355e-09,"4","Gm31522"
8.36356617898816e-100,6.25342045150147,0.481,0.029,1.67271323579763e-96,"4","4931428L18Rik"
4.41602596556451e-95,6.23670092452343,0.454,0.006,8.83205193112901e-92,"4","Gm3289"
0,6.23519735491292,0.539,0.019,0,"4","Erbb4"
0,6.12903482679836,0.769,0.072,0,"4","Slc7a10"
7.28296231317333e-46,6.04675112202642,0.417,0.012,1.45659246263467e-42,"4","Gm30270"
0,6.00387031177124,0.5,0.015,0,"4","Klb"
0,6.0027741093939,0.667,0.055,0,"4","Sctr"
0,5.99408265051584,0.806,0.104,0,"4","Ankef1"
0,5.99177911340614,0.731,0.07,0,"4","Apol6"
0,6.97595627249754,0.294,0.002,0,"5","Gm609"
5.80512853123737e-136,6.69050448840873,0.486,0.008,1.16102570624747e-132,"5","Lrrc3b"
6.23768011717358e-22,6.43773713871476,0.258,0.007,1.24753602343472e-18,"5","Klhl4"
1.78867082882885e-85,6.17286234031909,0.55,0.047,3.57734165765769e-82,"5","Shank3"
1.3986045712034e-06,6.13964054583083,0.454,0.061,0.0027972091424068,"5","Ccdc85a"
1.35844642104904e-152,6.07154563487999,0.253,0.024,2.71689284209808e-149,"5","Samd12"
6.49071342776326e-29,6.00777176936704,0.321,0.01,1.29814268555265e-25,"5","Dipk2b"
7.31116927899359e-54,6.00445230737397,0.537,0.065,1.46223385579872e-50,"5","Mecom"
2.7666578622098e-10,6.00088375483268,0.325,0.007,5.53331572441959e-07,"5","Gm12002"
1.61416855257324e-42,5.93255565192876,0.537,0.058,3.22833710514648e-39,"5","Cyyr1"
8.43306159022703e-19,5.89142262205318,0.48,0.06,1.68661231804541e-15,"5","Dach1"
3.2982785614937e-87,5.89077395328389,0.269,0.036,6.59655712298739e-84,"5","Fgd5"
4.95504268574446e-05,5.81718408303543,0.391,0.015,0.0991008537148892,"5","Pcdh17"
0.000136928618837094,5.7815005486965,0.45,0.031,0.273857237674189,"5","Flt1"
2.11974757266894e-22,5.77819792669793,0.36,0.069,4.23949514533787e-19,"5","Vwa3a"
1.38577789756292e-36,5.76051965999955,0.319,0.02,2.77155579512584e-33,"5","Btnl9"
0,5.72388212651451,0.561,0.005,0,"5","Lhx6"
0.00617367151779828,5.69237118009739,0.288,0.028,1,"5","Gm26691"
3.53852641879535e-14,5.62995582757321,0.485,0.068,7.07705283759069e-11,"5","Adgrl4"
4.66311424152203e-06,5.61188951953968,0.451,0.028,0.00932622848304406,"5","Ablim3"
