p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,based on Scott's 
0,3.525657098,0.804,0.353,0,0,Plekhg5,
6.78E-30,3.502337637,0.263,0.208,1.36E-26,0,Gm49144,
0,3.425814994,0.97,0.506,0,0,F13a1,
4.27E-235,3.106445912,0.388,0.2,8.54E-232,0,Cd163,
0,2.996102554,0.918,0.608,0,0,Rbpj,
0,2.970878334,0.632,0.358,0,0,Ms4a4a,
6.97E-56,2.912705744,0.292,0.226,1.39E-52,0,Ms4a8a,
0,2.791023337,0.691,0.347,0,0,Stard8,
3.08E-54,2.719163177,0.299,0.251,6.15E-51,0,Slit1,
0,2.708505722,0.893,0.554,0,0,Pde7b,
3.12E-58,2.654368228,0.263,0.209,6.24E-55,0,Mctp2,
0,2.650776228,0.83,0.474,0,0,Stab1,
0,2.573711195,0.709,0.341,0,0,Aoah,
2.59E-135,2.567542109,0.314,0.213,5.18E-132,0,P2ry12,
1.34E-47,2.561997538,0.308,0.265,2.68E-44,0,Hsf3,
9.31E-44,2.543959669,0.302,0.243,1.86E-40,0,Vsig4,
0,2.503965701,0.89,0.508,0,0,Mctp1,
0,2.469999772,0.604,0.362,0,0,Ddx60,
1.27E-86,2.444652756,0.375,0.31,2.54E-83,0,Susd1,
3.98E-83,2.441744888,0.39,0.321,7.95E-80,0,Pstpip2,
0,4.209575743,0.616,0.246,0,1,Gm13561,
5.13E-198,3.977524222,0.493,0.287,1.03E-194,1,Gm12381,
0,3.961928407,0.632,0.292,0,1,Sema3e,
0,3.868991323,0.588,0.304,0,1,Sntg1,
0,3.824921582,0.513,0.202,0,1,Ano3,
1.79E-80,3.785333122,0.26,0.085,3.58E-77,1,B230217J21Rik,
5.16E-86,3.759973858,0.304,0.137,1.03E-82,1,Gm46323,
7.59E-168,3.744646111,0.328,0.134,1.52E-164,1,Gpr1,
0,3.722967514,0.919,0.362,0,1,Sema3c,
0,3.653913566,0.472,0.178,0,1,Dtna,
0,3.64074129,0.63,0.279,0,1,Rorb,
0,3.567524774,0.637,0.231,0,1,Gfpt2,
0,3.542428808,0.969,0.333,0,1,Creb5,
1.72E-139,3.532385277,0.378,0.2,3.44E-136,1,Prkg2,
1.12E-89,3.528208257,0.335,0.208,2.25E-86,1,Aldh1a3,
0,3.498168747,0.967,0.376,0,1,Dpp4,
2.48E-194,3.47666244,0.381,0.147,4.95E-191,1,Efhd1,
0,3.432243165,0.612,0.231,0,1,Galnt16,
0,3.423408873,0.83,0.347,0,1,Nox4,
1.84E-144,3.409604702,0.402,0.217,3.67E-141,1,Lurap1l,
5.07E-21,1.950306541,0.313,0.246,1.01E-17,2,Ciita,
2.00E-37,1.866544312,0.288,0.178,3.99E-34,2,Gm35154,
3.85E-54,1.864720444,0.378,0.25,7.69E-51,2,Gm13710,
8.76E-119,1.776264813,0.541,0.316,1.75E-115,2,Atp6v0d2,
3.32E-38,1.735728824,0.377,0.274,6.64E-35,2,Rnf180,
2.09E-12,1.703975795,0.316,0.276,4.18E-09,2,Ccr5,
9.68E-07,1.639473243,0.349,0.332,0.001935355,2,Cd300lb,
3.93E-21,1.598593958,0.304,0.243,7.86E-18,2,Gm5150,
3.80E-17,1.593155061,0.401,0.346,7.59E-14,2,Gm2245,
1.55E-31,1.566342982,0.287,0.209,3.11E-28,2,Shisa9,
1.93E-09,1.524103211,0.255,0.224,3.87E-06,2,Adra1a,
3.01E-48,1.491145184,0.525,0.433,6.02E-45,2,St18,
3.03E-44,1.447307277,0.46,0.355,6.05E-41,2,Ly86,
1.03E-27,1.442399333,0.276,0.201,2.07E-24,2,Lair1,
2.72E-66,1.442081834,0.614,0.513,5.45E-63,2,Adgre1,Macrophage
