"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,3.52565709810647,0.804,0.353,0,"0","Plekhg5"
6.78175441735982e-30,3.50233763715595,0.263,0.208,1.35635088347196e-26,"0","Gm49144"
0,3.42581499350958,0.97,0.506,0,"0","F13a1"
4.26914934717205e-235,3.10644591217707,0.388,0.2,8.5382986943441e-232,"0","Cd163"
0,2.99610255396629,0.918,0.608,0,"0","Rbpj"
0,2.97087833441706,0.632,0.358,0,"0","Ms4a4a"
6.96633815923334e-56,2.91270574381608,0.292,0.226,1.39326763184667e-52,"0","Ms4a8a"
0,2.79102333699145,0.691,0.347,0,"0","Stard8"
3.07646228724743e-54,2.7191631774351,0.299,0.251,6.15292457449486e-51,"0","Slit1"
0,2.70850572174805,0.893,0.554,0,"0","Pde7b"
3.12048512226417e-58,2.6543682275291,0.263,0.209,6.24097024452835e-55,"0","Mctp2"
0,2.65077622837425,0.83,0.474,0,"0","Stab1"
0,2.57371119519495,0.709,0.341,0,"0","Aoah"
2.59101389032159e-135,2.56754210854253,0.314,0.213,5.18202778064318e-132,"0","P2ry12"
1.33776917126616e-47,2.56199753843993,0.308,0.265,2.67553834253231e-44,"0","Hsf3"
9.31346918260416e-44,2.54395966865203,0.302,0.243,1.86269383652083e-40,"0","Vsig4"
0,2.50396570135699,0.89,0.508,0,"0","Mctp1"
0,2.4699997723717,0.604,0.362,0,"0","Ddx60"
1.26951105640658e-86,2.44465275565965,0.375,0.31,2.53902211281317e-83,"0","Susd1"
3.97534628166405e-83,2.44174488822667,0.39,0.321,7.95069256332809e-80,"0","Pstpip2"
0,4.20957574298398,0.616,0.246,0,"1","Gm13561"
5.13139362019655e-198,3.97752422189549,0.493,0.287,1.02627872403931e-194,"1","Gm12381"
0,3.96192840710428,0.632,0.292,0,"1","Sema3e"
0,3.86899132269675,0.588,0.304,0,"1","Sntg1"
0,3.82492158159464,0.513,0.202,0,"1","Ano3"
1.78945028936862e-80,3.78533312200442,0.26,0.085,3.57890057873724e-77,"1","B230217J21Rik"
5.15573820205361e-86,3.75997385760411,0.304,0.137,1.03114764041072e-82,"1","Gm46323"
7.58693533385687e-168,3.74464611111682,0.328,0.134,1.51738706677137e-164,"1","Gpr1"
0,3.72296751441811,0.919,0.362,0,"1","Sema3c"
0,3.65391356617365,0.472,0.178,0,"1","Dtna"
0,3.64074128991099,0.63,0.279,0,"1","Rorb"
0,3.56752477418011,0.637,0.231,0,"1","Gfpt2"
0,3.54242880791179,0.969,0.333,0,"1","Creb5"
1.72233812380279e-139,3.53238527696818,0.378,0.2,3.44467624760559e-136,"1","Prkg2"
1.12457611230001e-89,3.52820825724926,0.335,0.208,2.24915222460002e-86,"1","Aldh1a3"
0,3.49816874695035,0.967,0.376,0,"1","Dpp4"
2.47606934651242e-194,3.47666243956184,0.381,0.147,4.95213869302483e-191,"1","Efhd1"
0,3.43224316539366,0.612,0.231,0,"1","Galnt16"
0,3.42340887291534,0.83,0.347,0,"1","Nox4"
1.83576798180278e-144,3.40960470233013,0.402,0.217,3.67153596360557e-141,"1","Lurap1l"
5.07343220675216e-21,1.95030654084437,0.313,0.246,1.01468644135043e-17,"2","Ciita"
1.99607130024589e-37,1.86654431151259,0.288,0.178,3.99214260049177e-34,"2","Gm35154"
3.84700011521255e-54,1.86472044449468,0.378,0.25,7.69400023042511e-51,"2","Gm13710"
8.75711461625682e-119,1.77626481316912,0.541,0.316,1.75142292325136e-115,"2","Atp6v0d2"
3.32119095010503e-38,1.73572882408997,0.377,0.274,6.64238190021006e-35,"2","Rnf180"
2.08939963453803e-12,1.70397579453893,0.316,0.276,4.17879926907605e-09,"2","Ccr5"
9.67677670470838e-07,1.63947324300506,0.349,0.332,0.00193535534094168,"2","Cd300lb"
